hpo_id,english_term,chinese_term,english_description,chinese_description
HP:0011840,Abnormality of T cell physiology ,T细胞生理功能异常,A functional anomaly of T cells. ,校对中... 
HP:0011847,Giant cell tumor of bone ,骨巨细胞瘤,A bone tumor composed of cellular spindle-cell stroma containing scattered multinucleated giant cells resembling osteoclasts. ,校对中... 
HP:0011848,Abdominal colic ,腹部绞痛,"A type of abdominal pain that comes and goes in waves, most often starting and ending suddenly and being of severe intensity. ",校对中... 
HP:0011849,Abnormal bone ossification ,骨化异常,"Any anomaly in the formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance. ",校对中... 
HP:0011850,Parotitis ,腮腺炎,Inflammation of the parotid gland. ,校对中... 
HP:0011852,Chylopericardium ,乳糜心包,"Accumulation of chyle (the whitish fluid taken up by the lacteals in the intestine, consisting of an emulsion of lymph and triglyceride fat thatpasses into the veins by the thoracic duct) in the pericardium. Chylopericardium is generally caused by obstruction of or trauma to the thoracic duct. ",校对中... 
HP:0011854,Hemoperitoneum ,腹腔积血,Accumulation of blood in the peritoneal cavity owing to internal hemorrhage. ,校对中... 
HP:0011855,Pharyngeal edema ,咽部水肿,Abnormal accumulation of fluid leading to swelling of the pharynx. ,校对中... 
HP:0011856,Pica ,异食癖,"An appetite for and the persistent ingestion of non-food substances such as clay. In order to diagnose pica, this behavior must have persisted over a period of at least one month. ",校对中... 
HP:0011858,Reduced factor IX activity ,凝血因子IX活性减低,"Decreased activity of coagulation factor IX. Factor IX, which itself is activated by factor Xa or factor VIIa to form factor IXa, activates factor X into factor Xa. ",校对中... 
HP:0011859,Punctate keratitis ,点状角膜炎,A type of keratitis characterized by inflammation in pinpoint areas of the corneal epithelium. ,校对中... 
HP:0011860,Metaphyseal dappling ,斑点状干骺端,The presence of spots or rounded patches of abnormally increased density of metaphyseal bone. ,校对中... 
HP:0011861,Bilateral trilobed lungs ,双侧三叶肺,"Both lungs have three lobes. Normally, the left lung has two lobes, whereas the right lung has three lobes. ",校对中... 
HP:0011863,Abnormal sternal ossification ,胸骨骨化异常,Any anomaly in the formation of the bony substance of the sternum. ,校对中... 
HP:0011864,Elevated plasma pyrophosphate ,血浆焦磷酸盐升高,"An abnormally increased diphosphate(4-) concentration in the blood. Diphosphate(4-), as ester with two phosphate groups, is also known as pyrophosphate. ",校对中... 
HP:0011867,Abnormal iliac wing morphology ,髂骨翼形态异常,An anomaly of the ilium ala. This is the large expanded portion of the ilum which bounds the greater pelvis laterally. ,校对中... 
HP:0011869,Abnormal platelet function ,血小板功能异常,Any anomaly in the function of thrombocytes. ,校对中... 
HP:0011870,Impaired arachidonic acid-induced platelet aggregation ,花生四烯酸诱导的血小板聚集受损,Abnormal response to arachidonic acid as manifested by reduced or lacking aggregation of platelets upon addition of arachidonic acid. ,校对中... 
HP:0011871,Impaired ristocetin-induced platelet aggregation ,瑞斯托菌素诱导的血小板聚集受损,Abnormal response to ristocetin as manifested by reduced or lacking aggregation of platelets upon addition of ristocetin. ,校对中... 
HP:0011872,Impaired thrombin-induced platelet aggregation ,凝血酶诱导的血小板聚集障碍,Abnormal response to thrombin or thrombin mimetics as manifested by reduced or lacking aggregation of platelets upon addition of thrombin (or thrombin mimetics). ,校对中... 
HP:0011875,Abnormal platelet morphology ,血小板形态异常,"An anomaly in platelet form, ultrastructure, or intracellular organelles. ",校对中... 
HP:0011877,Increased mean platelet volume ,平均血小板体积增大,Average platelet volume above the upper limit of the normal reference interval. ,校对中... 
HP:0011879,Decreased platelet glycoprotein Ib-IX-V ,血小板糖蛋白Ib-IX-V减少,Decreased cell membrane concentration of the glycoprotein complex Ib-IX-V. ,校对中... 
HP:0011883,Abnormal platelet granules ,血小板颗粒异常,An anomaly of alpha or dense granules or platelet lysosomes. ,校对中... 
HP:0011884,Abnormal umbilical stump bleeding ,异常脐带根部出血,Abnormal bleeding of the umbilical stump following separation of the cord at approximately 7-10 days after birth. ,校对中... 
HP:0011885,Hemorrhage of the eye ,眼出血,Bleeding from vessels of the various tissues of the eye. ,校对中... 
HP:0011886,Hyphema ,前房积血,Bleeding in the anterior chamber of the eye. ,校对中... 
HP:0011887,Choroid hemorrhage ,脉络膜出血,Hemorrhage from the vessels of the choroid. ,校对中... 
HP:0011888,Bleeding requiring red cell transfusion ,需要输红细胞的出血,Bleeding sufficiently severe as to require red cell transfusion (WHO Grade 3 or 4). ,校对中... 
HP:0011889,Bleeding with minor or no trauma ,轻微或无创伤出血,Significant bleeding or hemorrhage without significant precipitating factor. ,校对中... 
HP:0011890,Prolonged bleeding following procedure ,术后出血时间延长,Prolonged or protracted bleeding following an invasive procedure or intervention. ,校对中... 
HP:0011891,Post-partum hemorrhage ,产后出血,Significant maternal haemorrhage/blood loss following deilvery of a child. ,校对中... 
HP:0011892,Low levels of vitamin K ,维生素K缺乏症,A reduced concentration of vitamin K. ,校对中... 
HP:0011894,Impaired thromboxane A2 agonist-induced platelet aggregation ,血栓素A2激动剂诱导的血小板聚集受损,Abnormal response to thromboxane as manifested by reduced or lacking aggregation of platelets upon addition of thromboxane A2 receptor agonists. ,校对中... 
HP:0011897,Neutrophilia ,中性粒细胞增多症,Increased number of neutrophils circulating in blood. ,校对中... 
HP:0011900,Hypofibrinogenemia ,低纤维蛋白原血症,Decreased concentration of fibrinogen in the blood. ,校对中... 
HP:0011902,Abnormal hemoglobin ,血红蛋白异常,"Anomaly in the level or the function of hemoglobin, the oxygen-carrying protein of erythrocytes. ",校对中... 
HP:0011903,HbH hemoglobin ,血红蛋白H,"Hemoglobin H (HbH) contains four beta-globin chains. It is normally not present at all in blood, but may make up about 1-40 percent of all hemoglobin in HbH disease, a subform of alpha thalassemia. ",校对中... 
HP:0011904,Persistence of hemoglobin F ,胎儿血红蛋白F持续存在,"Hemoglobin F (HbF) contains two globin alpha chains and two globin gamma chains. It is the main form of hemoglobin in the fetus during the last seven months of intrauterine development and in the half year of postnatal life. In adults it normally makes up less than one percent of all hemoglobin. This term refers to an increase in HbF above this limit. In beta thalassemia major, it may represent over 90 percent of all hemoglobin, and in beta thalassemia minor it may make up between 0.5 to 4 percent. ",校对中... 
HP:0011905,Reduced hemoglobin A ,血红蛋白A减低,"Hemoglobin A (HbA) contains two globin alpha chains and two globin beta chains. HbA is normally the main adult hemoglobin, representing about 96-98 percent of all hemoglobin. This term represents a decreased in the proportion of HbA below this limit, and can be seen in various forms of thalassemia. ",校对中... 
HP:0011906,Reduced beta/alpha synthesis ratio ,β/α合成比减低,A reduction in the ratio of production of beta globin to that of alpha globin. This is the major abnormality in the various forms of beta thalassemia. ,校对中... 
HP:0011907,Reduced alpha/beta synthesis ratio ,α/β合成比减低,A reduction in the ratio of production of alpha globin to that of beta globin. This is the major abnormality in the various forms of alpha thalassemia. ,校对中... 
HP:0011908,Unilateral radial aplasia ,单侧桡骨发育不良,Missing radius bone on one side only associated with congenital failure of development. ,校对中... 
HP:0011909,Flattened metacarpal heads ,掌骨头扁平,Abnormally flat shape of the heads of the metacarpal bones. ,校对中... 
HP:0011910,Shortening of all phalanges of fingers ,全部指骨短,Abnormal reduction in length affecting all phalanges. ,校对中... 
HP:0011911,Abnormality of metacarpophalangeal joint ,掌指关节异常,An anomaly of a metacarpophalangeal joint. ,校对中... 
HP:0011913,Lumbar hypertrichosis ,腰部多毛症,"Excessive, increased hair growth located in the lumbar region. ",校对中... 
HP:0011914,Thoracic hypertrichosis ,胸部多毛症,"Excessive, increased hair growth located in the thoracic region. ",校对中... 
HP:0011915,Cardiovascular calcification ,心血管钙化,Abnormal calcification in the cardiovascular system. ,校对中... 
HP:0011916,Toe extensor amyotrophy ,趾伸肌萎缩,"Atrophy of the extensor digitorum longus muscles, which mediate extension of the toes. ",校对中... 
HP:0011917,Short 5th toe ,第五趾短,Underdevelopment (hypoplasia) of the fifth toe. ,校对中... 
HP:0011918,Clinodactyly of the 4th toe ,第四趾屈趾畸形,"Bending or curvature of a fourth toe in the tibial direction (i.e., towards the big toe). ",校对中... 
HP:0011923,Decreased activity of mitochondrial complex I ,线粒体复合物I活性降低,"A reduction in the activity of the mitochondrial respiratory chain complex I, which is part of the electron transport chain in mitochondria. ",校对中... 
HP:0011924,Decreased activity of mitochondrial complex III ,线粒体复合物III活性降低,"A reduction in the activity of the mitochondrial respiratory chain complex III, which is part of the electron transport chain in mitochondria. ",校对中... 
HP:0011925,Decreased activity of mitochondrial ATP synthase complex ,线粒体ATP合成酶复合物活性降低,"A reduction in the activity of the mitochondrial proton-transporting ATP synthase complex, which makes ATP via oxidative phosphorylation, and is sometimes described as Complex V of the electron transport chain. ",校对中... 
HP:0011927,Short digit ,短指（趾）畸形,"One or more digit that appears disproportionately short compared to the hand/foot, whereby either the entire digit or a specific phalanx is shortened. ",校对中... 
HP:0011929,Hypersegmentation of proximal phalanx of third finger ,第三指近节指骨基部额外分节,"Presence of an additional phalanx-like bone, producing an extra, wedge-shaped bone at the base of the proximal phalanx of the third finger. ",校对中... 
HP:0011931,Abnormal cerebellar peduncle morphology ,小脑脚形态异常,"An anomaly of the cerebellar peduncles. The superior, middle, and inferior cerebellar peduncles emerge from the cerebellum. The superior cerebellar penduncles connect the cerebellum to the midbrain, the middle cerebellar peduncles connect the cerebellum to the pons, and the inferior cerebellar peduncle connects the medulla spinalis and medulla oblongata with the cerebellum. ",校对中... 
HP:0011932,Abnormal superior cerebellar peduncle morphology ,小脑上脚形态异常,An anomaly of the superior cerebellar peduncle. ,校对中... 
HP:0011933,Elongated superior cerebellar peduncle ,小脑上脚延长,Increased length of the superior cerebellar peduncle. ,校对中... 
HP:0011934,Dilatation of mesenteric artery ,肠系膜动脉扩张,Abnormal outpouching or sac-like dilatation in the wall of the inferior mesenteric artery or superior mesenteric artery . ,校对中... 
HP:0011935,Decreased urinary urate ,尿液中尿酸盐减少,Decreased concentration of urate in the urine. ,校对中... 
HP:0011936,Decreased plasma total carnitine ,血浆总肉碱降低,A decreased concentration of total carnitine in the blood. ,校对中... 
HP:0011937,Hypoplastic fifth toenail ,第5趾甲发育不良,Underdeveloped nails of the fifth toes. ,校对中... 
HP:0011939,3-4 finger cutaneous syndactyly ,第三-四指皮肤性并指,A soft tissue continuity in the A/P axis between fingers 3 and 4. ,校对中... 
HP:0011940,Anterior wedging of T12 ,第12胸椎体前侧楔形,An abnormality of the shape of the thoracic vertebra T12 such that it is wedge-shaped (narrow towards the front). ,校对中... 
HP:0011941,Anterior wedging of L2 ,第二腰椎体前侧楔形,An abnormality of the shape of the lumbar vertebra L2 such that it is wedge-shaped (narrow towards the front). ,校对中... 
HP:0011942,Increased urinary sulfite ,尿亚硫酸盐增加,"Increased concentration of SO3(2-), i.e., sulfite, in the urine. ",校对中... 
HP:0011943,Increased urinary thiosulfate ,尿硫代硫酸盐增加,Increased concentration of thiosulfate(2-) in the urine. ,校对中... 
HP:0011944,Small vessel vasculitis ,小血管炎,"A type of vasculitis (inflammation of blood vessel walls) that affects blood vessels that are smaller than arteries, i.e., arterioles, venules, and capilllaries. ",校对中... 
HP:0011945,Bronchiolitis obliterans organizing pneumonia ,闭塞性细支气管炎机化性肺炎,"Bronchiolitis obliterans organizing pneumonia (BOOP) is and interstitial lung abnormalitiy characterized histopathologically by plugs of granulation tissue lying within small airways, alveolar ducts, and alveoli and by chronic inflammatory cell infiltration in alveolar walls. Patients with BOOP generally present with subacute illness, including shortness of breath, fever, malaise, and weight loss. ",校对中... 
HP:0011946,Bronchiolitis obliterans ,闭塞性细支气管炎,Inflammation and fibrosis of the bronchioles leading to partial or complete obstruction of these airways. ,校对中... 
HP:0011947,Respiratory tract infection ,呼吸道感染,An infection of the upper or lower respiratory tract. ,校对中... 
HP:0011949,Acute infectious pneumonia ,急性感染性肺炎,Acute inflammation of the lung due to an infection. ,校对中... 
HP:0011950,Bronchiolitis ,细支气管炎,Inflammation of the bronchioles. ,校对中... 
HP:0011951,Aspiration pneumonia ,吸入性肺炎,"Pneumonia due to the aspiration (breathing in) of food, liquid, or gastric contents into the upper respiratory tract. ",校对中... 
HP:0011954,Nodular regenerative hyperplasia of liver ,肝脏结节性再生性增生,Diffuse benign transformation of the hepatic parenchyma into small regenerative nodules with minimal or no fibrosis. ,校对中... 
HP:0011960,Substantia nigra gliosis ,黑质神经胶质增生,Focal proliferation of glial cells in the substantia nigra. ,校对中... 
HP:0011961,Non-obstructive azoospermia ,非梗阻性无精症,"Absence of any measurable level of sperm in his semen, resulting from a defect in the production of spermatozoa in the testes. This can be differentiated from obstructive azoospermia on the basis of testicular biopsy. ",校对中... 
HP:0011962,Obstructive azoospermia ,梗阻性无精症,"Absence of any measurable level of sperm in his semen, resulting from post-testicular obstruction or retrograde ejaculation. This can be differentiated from obstructive azoospermia on the basis of testicular biopsy. ",校对中... 
HP:0011964,Intermittent painful muscle spasms ,间歇性痛性肌痉挛,History of repeated intermittent involuntary muscle contractions that were painful. ,校对中... 
HP:0011965,Abnormal circulating citrulline concentration ,瓜氨酸代谢异常,Any deviation from the normal concentration of citrulline in the blood circulation. ,校对中... 
HP:0011966,Elevated plasma citrulline ,血浆瓜氨酸升高,An increased concentration of citrulline in the blood. ,校对中... 
HP:0011967,Decreased circulating copper concentration ,低铜血症,A reduced concentration of copper in the blood. ,校对中... 
HP:0011968,Feeding difficulties ,喂养困难,"Impaired ability to eat related to problems gathering food and getting ready to suck, chew, or swallow it. ",校对中... 
HP:0011969,Elevated circulating luteinizing hormone level ,血液黄体生成素水平升高,An elevated concentration of luteinizing hormone in the blood. ,校对中... 
HP:0011970,Cerebral amyloid angiopathy ,脑淀粉样血管病,"Amyloid deposition in the walls of leptomeningeal and cortical arteries, arterioles, and less often capillaries and veins of the central nervous system. ",校对中... 
HP:0011971,Dermatographic urticaria ,皮肤划痕症,"An exaggerated whealing tendency when the skin is stroked, that is, formation of red, itchy bumps and lines on the skin as a result of pressure on the skin (for instance, stroking the skin with a pen or tongue depressor). ",校对中... 
HP:0011972,Hypoglycorrhachia ,脑脊液糖减低,Abnormally low glucose concentration in the cerebrospinal fluid. ,校对中... 
HP:0011973,Paroxysmal lethargy ,阵发性嗜睡,Repeated episodes of sudden-onset and transient lethargy. ,校对中... 
HP:0011974,Myelofibrosis ,骨髓纤维化,Replacement of bone marrow by fibrous tissue. ,校对中... 
HP:0011975,Aminoglycoside-induced hearing loss ,氨基糖甙类抗生素引起的听力损失,Partial or complete loss of hearing following ingestion of aminoglycoside antibiotics. ,校对中... 
HP:0011976,Elevated urinary catecholamines ,尿儿茶酚胺升高,An increased concentration of catecholamine in the urine. ,校对中... 
HP:0011977,Elevated urinary homovanillic acid ,尿高香草酸水平升高,An increased concentration of homovanillic acid in the urine. ,校对中... 
HP:0011978,Elevated urinary vanillylmandelic acid ,尿香草扁桃酸水平升高,An increased concentration of vanillylmandelic acid in the urine. ,校对中... 
HP:0011979,Elevated urinary dopamine ,尿多巴胺增高,An increased concentration of dopamine in the urine. ,校对中... 
HP:0011980,Cholesterol gallstones ,胆固醇性胆结石,"Gallstones composed primarily of cholesterol, usually about 2-3 cm in length with an oval form and a yellow or green/brown color. ",校对中... 
HP:0011981,Pigment gallstones ,色素性胆结石,Gallstones composed primarily of bilirubin and calcium salts (calcium bilirubinate) with a low cholesterol concentration. ,校对中... 
HP:0011985,Acholic stools ,无胆色大便,Clay colored stools lacking bile pigment. ,校对中... 
HP:0011986,Ectopic ossification ,异位性骨化,"Formation of abnormal, extraskeletal bony tissue, i.e., the presence of bone in soft tissue where bone normally does not exist. ",校对中... 
HP:0011987,Ectopic ossification in muscle tissue ,肌肉组织异位性骨化,Formation of abnormal bony tissue within muscle tissue. ,校对中... 
HP:0011988,Ectopic ossification in tendon tissue ,肌腱组织异位性骨化,Formation of abnormal bony tissue within tendon tissue. ,校对中... 
HP:0011989,Ectopic ossification in ligament tissue ,韧带组织异位性骨化,Formation of abnormal bony tissue within ligament tissue. ,校对中... 
HP:0011990,Abnormality of neutrophil physiology ,中性粒细胞生理功能异常,A functional abnormality of neutrophils. ,校对中... 
HP:0011991,Abnormal neutrophil count ,中性粒细胞数量异常,A deviation from the normal range of neutrophil cell counts in the circulation. ,校对中... 
HP:0011992,Abnormality of neutrophil morphology ,中性粒细胞形态异常,An abnormal form or size of neutrophils. ,校对中... 
HP:0011993,Impaired neutrophil bactericidal activity ,中性粒细胞杀菌活性降低,A reduction in the ability of neutrophils to kill bacteria. ,校对中... 
HP:0011994,Abnormal atrial septum morphology ,房间隔形态异常,An abnormality of the interatrial septum. ,校对中... 
HP:0011995,Atrial septal dilatation ,房间隔扩张,"A bulging of the interatrial septum towards one side. In adults, atrial septal aneurysm can be defined as a protrusion of the aneurysm of >10 mm beyond the plane of the atrial septum as measured by transesophageal echocardiography. ",校对中... 
HP:0011996,Elevated coagulation factor V activity ,因子V活性增高,"Increased activity of coagulation factor V, Factor V, which is activated to factor Va by means of minute amounts of thrombin (and inactivated by larger amounts of thrombin). Activated factor V (fVa) is a cofactor in the formation of the prothrombinase complex. ",校对中... 
HP:0011997,Postprandial hyperlactemia ,餐后高乳酸血症,Abnormally increased level of blood lactate following a meal. ,校对中... 
HP:0011998,Postprandial hyperglycemia ,餐后高血糖,An increased concentration of glucose in the blood following a meal. ,校对中... 
HP:0011999,Paranoia ,偏执狂,A persecutory delusion of supposed hostility of others. ,校对中... 
HP:0012000,EEG with generalized spikes ,脑电图，广泛性棘波,EEG with generalized sharp transient waves of a duration less than 80 msec. ,校对中... 
HP:0012001,EEG with generalized polyspikes ,脑电图，广泛性多棘波,EEG with repetitive generalized sharp transient waves of a duration less than 80 msec. ,校对中... 
HP:0012002,Experiential epileptic aura ,癫痫先兆体验,"Affective, mnemonic or composite perceptual auras with subjective qualities similar to those experienced in life but are recognized by the subject as occurring outside of actual context. ",校对中... 
HP:0012005,Deja vu aura ,似曾相识的感觉,A subjective feeling that an experience which is occurring for the first time has been experienced before. ,校对中... 
HP:0012010,EEG with frontal focal spike waves ,脑电图，伴额叶局灶棘慢波,"EEG with focal sharp transient waves in the frontal region, i.e., focal sharp waves of a duration less than 80 msec followed by a slow wave. ",校对中... 
HP:0012012,EEG with parietal focal spike waves ,脑电图，伴顶部局灶棘慢波,"EEG with focal sharp transient waves in the parietal region, i.e., focal sharp waves of a duration less than 80 msec followed by a slow wave. ",校对中... 
HP:0012014,EEG with central focal spikes ,脑电图，伴中央区局灶棘波,EEG with focal sharp transient waves of a duration less than 80 msec in the central region. ,校对中... 
HP:0012015,EEG with frontal focal spikes ,脑电图，伴额部局灶棘波,EEG with focal sharp transient waves of a duration less than 80 msec in the frontal region. ,校对中... 
HP:0012016,EEG with occipital focal spikes ,脑电图，伴枕部局灶棘波。,EEG with focal sharp transient waves of a duration less than 80 msec in the occipital region. ,校对中... 
HP:0012017,EEG with parietal focal spikes ,脑电图，伴顶部局灶棘波,EEG with focal sharp transient waves of a duration less than 80 msec in the parietal region. ,校对中... 
HP:0012018,EEG with temporal focal spikes ,脑电图，伴颞区局灶棘波,EEG with focal sharp transient waves of a duration less than 80 msec in the temporal region. ,校对中... 
HP:0012019,Lens luxation ,晶状体脱位,Complete dislocation of the lens of the eye. ,校对中... 
HP:0012020,Right aortic arch ,右位主动脉弓,Aorta descends on right instead of on the left. ,校对中... 
HP:0012023,Galactosuria ,半乳糖尿症,Elevated concentration of galactose in the urine. ,校对中... 
HP:0012024,Hypergalactosemia ,高半乳糖血症,Elevated concentration of galactose in the blood. ,校对中... 
HP:0012026,Hyperornithinemia ,高鸟氨酸血症,Increased concentration of ornithine in the blood. ,校对中... 
HP:0012027,Laryngeal edema ,喉头水肿,An abnormal accumulation of fluid and swelling in the tissues of the larynx. ,校对中... 
HP:0012028,Hepatocellular adenoma ,肝细胞腺瘤,A benign tumor of the liver of presumably epithelial origin. ,校对中... 
HP:0012030,Increased urinary cortisol level ,尿皮质醇水平增高,Abnormally increased concentration of cortisol in the urine. ,校对中... 
HP:0012032,Lipoma ,脂肪瘤,Benign neoplasia derived from lipoblasts or lipocytes of white or brown fat. May be angiomatous or hibernomatous. ,校对中... 
HP:0012033,Sacral lipoma ,骶脂肪瘤,Presence of a lipoma in the region of the sacrum. ,校对中... 
HP:0012035,Steatocystoma multiplex ,多发性皮脂腺囊瘤,"Multiple, localized or widespread, asymptomatic or inflammatory dermal cysts involving the pilosebaceous units. Lesions can appear anywhere on the body, but steatocystoma multiplex is more commonly involved with those areas of the skin with a high density of developed pilosebaceous units (e.g., the axilla, groin, neck, and proximal extremities). ",校对中... 
HP:0012036,Sternocleidomastoid amyotrophy ,胸锁乳突肌萎缩,"Wasting of the sternocleidomastoid muscle, the muscle in the anterior part of the neck that acts to flex and rotate the head. ",校对中... 
HP:0012037,Pectoralis amyotrophy ,胸肌萎缩,"Wasting of the pectoral muscles, i.e., of the pectoralis major and pectoralis minor. ",校对中... 
HP:0012038,Corneal guttata ,角膜液滴样病变,Corneal guttata are droplet-like accumulations of non-banded collagen on the posterior surface of Descemet's membrane. The presence of focal thickenings of Descemet's membrane histologically named guttae. Cornea guttata can be easily diagnosed in vivo and ex vivo by means of specular microscopy as it gives dark areas where no endothelial cells are visible. ,校对中... 
HP:0012039,Descemet Membrane Folds ,后弹力膜皱襞,"Presence of folds in the Descemet membrane, which is the basement membrane of the endothelial (inner) cell layer of the cornea. Descemet membrane folds are generally a manifestation of inflammation or edema of the cornea. ",校对中... 
HP:0012040,Corneal stromal edema ,角膜基质水肿,Abnormal accumulation of fluid and swelling of the stroma of cornea. ,校对中... 
HP:0012041,Decreased fertility in males ,男性生育能力下降, , 
HP:0012042,Aspirin-induced asthma ,阿司匹林诱发的哮喘,A type of asthma in which aspirin and other nonsteroidal anti-inflammatory drugs (NSAIDs) that inhibit cyclooxygen-ase 1 (COX-1) exacerbate bronchoconstriction. ,校对中... 
HP:0012043,Pendular nystagmus ,钟摆样眼球震颤,"Rhythmic, involuntary sinusoidal oscillations of one or both eyes. The waveform of pendular nystagmus may occur in any direction. ",校对中... 
HP:0012044,Seesaw nystagmus ,跷跷板样眼球震颤,"Seesaw nystagmus is a type of pendular nystagmus where a half cycle consists of the elevation and intorsion of one eye, concurrently with the depression and extortion of the fellow eye. In the other half cycle, there is an inversion of the ocular movements. ",校对中... 
HP:0012045,Retinal flecks ,视网膜斑点,Presence of multiple yellowish-white lesions of various size and configuration on the retina not related to vascular lesions. ,校对中... 
HP:0012046,Areflexia of upper limbs ,上肢反射消失,Inability to elicit tendon reflexes in the upper limbs. ,校对中... 
HP:0012047,Hemeralopia ,昼盲,A visual defect characterized by the inability to see as clearly in bright light as in dim light. The word hemeralopia literally means day blindness. ,校对中... 
HP:0012048,Oromandibular dystonia ,口下颌肌张力障碍,"A kind of focal dystonia characterized by forceful contractions of the face, jaw, and/or tongue causing difficulty in opening and closing the mouth and often affecting chewing and speech. ",校对中... 
HP:0012049,Laryngeal dystonia ,喉肌张力障碍,"A form of focal dystonia that affects the vocal cords, associated with involuntary contractions of the vocal cords causing interruptions of speech and affecting the voice quality and often leading to patterned, repeated breaks in speech. ",校对中... 
HP:0012050,Anasarca ,全身水肿,An extreme form of generalized edema with widespread and massive edema due to effusion of fluid into the extracellular space. ,校对中... 
HP:0012051,Reactive hypoglycemia ,反应性低血糖,"Hypoglycermia following a meal (or more generally, after intake of glucose). ",校对中... 
HP:0012052,Low serum calcitriol ,"低血清骨化三醇（1,25-二羟基胆钙化醇）","A reduced concentration of calcitriol in the blood. Calcitriol is also known as 1,25-dihydroxycholecalciferol or 1,25-dihydroxyvitamin D3. ",校对中... 
HP:0012053,Decreased circulating calcifediol concentration ,低血清骨化二醇（25-羟基胆钙化醇）,"A reduced concentration of calcifediol in the blood. Calcifediol is also known as calcidiol, 25-hydroxycholecalciferol and 25-Hydroxyvitamin D3. ",校对中... 
HP:0012054,Choroidal melanoma ,脉络膜黑色素瘤,"Malignant tumor of melanocytes of the choroid. The classic appearance of choroidal melanoma is a pigmented dome-shaped or collar button-shaped tumor with an associated exudative retinal detachment. Choroidal melanoma is usually pigmented, but can be variably pigmented and even amelanotic (non-pigmented). ",校对中... 
HP:0012055,Ciliary body melanoma ,睫状体黑色素瘤,Malignant tumor of melanocytes of the ciliary body. ,校对中... 
HP:0012056,Cutaneous melanoma ,皮肤黑色素瘤,The presence of a melanoma of the skin. ,校对中... 
HP:0012059,Lentigo maligna melanoma ,恶性雀斑样黑色素瘤,"A subtype of melanoma in situ that typically develops on sun-damaged skin. The lesion is typically a large, irregularly pigmented macule that has developed from an ordinary lentigo (a small pigmented spot on the skin with a clearly-defined edge). Change to a malignant lentigo typically takes place over 20 years or more, and many patients accept the change as a consequence of aging. ",校对中... 
HP:0012060,Acral lentiginous melanoma ,肢端雀斑样黑色素瘤,"A type of cutaneous melanoma localized to the palm, sole, or beneath the nail (subungual melanoma). Acral lentiginous melanoma starts as a slowly-enlarging flat patch of discoloured skin and usually displays a size above 6 mm and often several centimetres or more in diameter upon diagnosis and variable pigmentation with a mixutre of colors including brown, and blue-grey, black and red. The surface of the lesion is initially smooth but later in the course may become thicker and irregular, and may ulcerate or bleed. ",校对中... 
HP:0012061,Urinary excretion of sialylated oligosaccharides ,唾液酸化寡聚糖的尿排泄,Excretion of oligosaccharides conjugated to sialic acid in the urine. ,校对中... 
HP:0012062,Bone cyst ,骨囊肿,A fluid filled cavity that develops with a bone. ,校对中... 
HP:0012063,Aneurysmal bone cyst ,动脉瘤性骨囊肿,"Radiographic features include a dilated, radiolucent lesion typically located eccentrically within the metaphyseal portion of the bone, with fluid levels visible on magnetic resonance imaging. ",校对中... 
HP:0012065,Multiple bony cystic lesions ,多发性骨囊性病变,Presence of multiple cystic changes in multiple areas or multiple bones. ,校对中... 
HP:0012066,Increased urinary disaccharide excretion ,尿液双糖排泄增加,Increased concentration of disaccharide in the urine. ,校对中... 
HP:0012068,Aspartylglucosaminuria ,天冬氨酰葡萄糖胺尿症,Excretion of excess amounts of aspartylglucosamine in the urine. ,校对中... 
HP:0012069,Keratan sulfate excretion in urine ,尿中排泄硫酸角质素,An increased concentration of keratan sulfate in the urine. ,校对中... 
HP:0012070,Chondroitin sulfate excretion in urine ,尿中排泄硫酸软骨素,An increased concentration of chondroitin sulfate (CHEBI:37397) in the urine. ,校对中... 
HP:0012071,Abnormal circulating acetylcarnitine concentration ,乙酰肉碱代谢异常,"Any deviation from the normal concentration in the blood circulation of acylcarnitine, which is produced by reversible esterification of the 3-hydroxyl group of carnitine. ",校对中... 
HP:0012072,Aciduria ,酸性尿,"Excretion of urine with an acid pH, i.e., having an increased hydrogen ion concentration. ",校对中... 
HP:0012074,Tonic pupil ,瞳孔强直,"An abnormality of the pupillary light reaction characterized by a marked slowing of the light reaction of usually just one pupil. The pupil tends to be relatively dilated, and there is reduced accommodation. ",校对中... 
HP:0012075,Personality disorder ,人格障碍,An abnormality of mental functioning affecting the personality and behavioural tendencies of an individual and characterized by a rigid and unhealthy pattern of thinking and behavior. The definition of a personal disorder implies that the abnormality is not the result of damage or insult to the brain or from another psychiatric disorder. ,校对中... 
HP:0012076,Borderline personality disorder ,边缘性人格障碍,A personality disorder characterized by impulsive behavior and unpredictable and capricious mood. Affected individuals show a liability to outbursts of emotion and an incapacity to control the behavioural explosions. ,校对中... 
HP:0012078,Motor conduction block ,运动传导阻滞,Blockade of impulses at a focal site along the course of a motor axon. ,校对中... 
HP:0012079,Abnormality of central motor conduction ,中枢运动传导异常,Any anomaly of the conduction of motor nerve impulses in the central nervous system. ,校对中... 
HP:0012081,Enlarged cerebellum ,小脑增大,An abnormally increased size of the cerebellum compared to other brain structures. ,校对中... 
HP:0012082,Cerebellar Purkinje layer atrophy ,小脑浦肯野细胞层萎缩,Atrophy of the cerebellum affecting primarily the Purkinje cell layer. ,校对中... 
